GEOID,estimate
30023,41783
30025,60750
30027,50327
30029,52966
30031,61499
30033,45893
30035,31029
30037,39952
30039,48958
30041,47141
30043,66867
30045,45764
30047,45488
30049,62130
30051,47419
30053,38287
30055,47500
30057,50247
30059,43109
30061,41905
30063,51270
30065,41612
30067,49194
30069,44688
30071,46222
30073,45458
30075,52457
30077,49652
30079,47250
30081,48930
30083,67272
30085,42904
30087,56549
30089,36984
30091,54321
30093,42237
30095,63785
30097,49514
30099,51862
30101,46823
30103,42292
30105,55882
30107,41186
30109,50202
30111,59117
31001,51536
31003,48716
31005,43854
31007,59625
31009,50870
31011,54063
31013,56412
31015,50729
31017,41550
31019,56952
31021,51482
31023,55562
31025,71139
31027,58978
31029,55833
31031,53684
31033,56538
31035,56316
31037,56528
31039,55190
31041,49891
31043,55017
31045,51748
31047,53769
31049,48500
31051,56775
31053,53101
31055,61688
31057,44350
31059,55625
31061,49235
31063,51855
31065,47989
31067,51662
31069,44471
31071,48545
31073,62545
31075,39479
31077,47128
31079,54742
31081,64042
31083,50344
31085,45515
31087,42902
31089,57468
31091,39115
31093,54399
31095,43295
31097,52794
31099,56952
31101,48901
31103,49688
31105,43856
31107,49752
31109,58009
31111,56794
31113,51607
31115,53125
31117,48882
31119,52857
31121,54197
31123,45121
31125,45833
31127,51922
31129,42049
31131,54828
31133,46314
31135,62469
31137,57241
31139,56620
31141,62617
31143,61962
31145,46859
31147,48096
31149,52604
31151,51143
31153,79549
31155,66718
31157,50157
31159,67591
31161,41719
31163,51172
31165,46875
31167,62687
31169,50734
31171,50682
31173,48149
31175,55170
31177,70753
31179,62623
31181,42298
31183,52083
31185,59779
32001,51514
32003,56802
32005,62503
32007,77209
32009,40000
32011,77625
32013,70373
32015,93583
32017,56414
32019,55493
32021,41163
32023,45711
32027,50846
32029,62284
32031,61155
32033,62993
32510,52034
33001,68368
33003,61116
33005,63057
33007,45696
33009,63153
33011,78655
33013,72478
33015,90429
33017,70650
33019,60780
34001,59989
34003,95837
34005,84992
34007,67118
34009,63690
34011,52593
34013,59302
34015,85160
34017,66289
34019,112535
34021,79990
34023,85954
34025,95699
34027,111316
34029,68021
34031,66476
34033,64309
34035,111772
34037,90520
34039,77095
34041,78145
35001,51643
35003,42480
35005,43197
35006,37368
35007,33783
35009,46182
35011,31028
35013,39164
35015,62982
35017,37880
35019,24085
35021,30875
35023,36339
35025,59797
35027,42267
35028,115248
35029,27377
35031,31674
35033,26968
35035,42752
35037,27075
35039,NA
35041,40775
35043,59420
35045,50582
35047,31660
35049,59192
35051,30451
35053,36146
35055,36758
35057,37218
35059,37936
35061,45084
36001,64535
36003,47033
36005,38085
36007,50859
36009,47240
36011,56579
36013,45332
36015,53299
36017,50595
36019,55178
36021,63032
36023,54489
36025,48827
36027,78028
36029,55673
36031,56196
36033,51696
36035,50248
36037,59338
36039,53617
36041,57552
36043,51862
36045,52268
36047,56015
36049,52380
36051,56071
36053,60228
36055,57479
36057,45837
36059,111240
36061,82459
36063,54085
36065,53844
36067,59225
36069,63359
36071,76716
36073,51843
36075,53597
36077,53121
36079,102186
36081,64987
36083,65851
36085,79267
36087,91108
36089,49305
36091,80839
36093,63785
36095,53989
36097,51479
36099,54695
36101,51789
36103,96675
36105,56256
36107,60736
36109,58743
36111,63348
36113,59813
36115,54114
36117,55765
36119,92758
36121,57914
36123,54343
37001,45735
37003,44961
37005,37558
37007,39126
37009,40978
37011,38134
37013,43688
37015,33143
37017,32378
37019,54406
37021,50668
37023,42516
37025,64174
37027,42072
37029,63349
37031,54428
37033,43961
37035,51157
37037,63531
37039,40294
37041,42621
37043,38801
37045,40393
37047,36398
37049,50870
37051,45716
37053,66284
37055,58012
37057,47271
37059,57611
37061,38850
37063,58190
37065,35516
37067,50128
37069,53175
37071,49384
37073,52205
37075,36525
37077,55628
37079,38306
37081,51072
37083,34251
37085,51630
37087,49800
37089,52815
37091,37005
37093,47535
37095,45466
37097,58198
37099,44028
37101,56842
37103,36892
37105,48873
37107,38387
37109,53318
37111,40913
37113,43597
37115,42410
37117,39205
37119,64312
37121,44186
37123,42346
37125,57899
37127,48362
37129,52716
37131,35499
37133,49491
37135,68211
37137,44947
37139,48279
37141,52989
37143,45915
37145,48811
37147,44315
37149,48834
37151,45006
37153,36091
37155,33679
37157,42490
37159,48667
37161,40347
37163,39068
37165,35617
37167,49590
37169,46169
37171,41068
37173,36773
37175,46629
37177,35472
37179,75397
37181,37282
37183,76956
37185,35962
37187,35512
37189,45268
37191,42192
37193,40829
37195,42850
37197,42876
37199,39888
38001,54875
38003,57064
38005,44313
38007,92604
38009,59882
38011,65063
38013,74931
38015,69719
38017,62031
38019,67591
38021,60918
38023,60074
38025,70500
38027,51563
38029,51029
38031,60613
38033,56087
38035,51951
38037,50962
38039,52794
38041,56761
38043,57734
38045,59426
38047,58144
38049,62637
38051,50739
38053,80732
38055,65648
38057,79890
38059,67584
38061,70678
38063,48798
38065,68333
38067,64962
38069,48802
38071,57313
38073,61810
38075,68182
38077,61990
38079,39884
38081,67200
38083,49261
38085,40862
38087,63942
38089,75708
38091,65848
38093,57642
38095,53696
38097,62870
38099,54414
38101,67753
38103,57989
38105,86575
39001,36894
39003,50552
39005,52730
39007,44823
39009,37778
39011,61758
39013,49361
39015,52356
39017,63358
39019,52394
39021,57103
39023,48502
39025,64822
39027,51354
39029,46306
39031,44491
39033,42892
39035,48435
39037,52691
39039,57665
39041,104322
39043,52270
39045,66175
39047,46478
39049,58762
39051,60231
39053,42113
39055,79956
39057,67109
39059,43975
39061,54976
39063,55644
39065,48773
39067,48462
39069,59083
39071,43297
39073,50000
39075,62111
39077,51559
39079,45340
39081,44819
39083,55131
39085,63475
39087,44372
39089,62715
39091,55150
39093,56965
39095,46924
39097,65264
39099,44682
39101,45464
39103,74243
39105,43591
39107,59417
39109,57544
39111,43956
39113,49314
39115,41731
39117,56010
39119,45276
39121,47456
39123,57918
39125,51933
39127,48811
39129,62214
39131,43729
39133,56618
39135,55374
39137,62001
39139,47346
39141,48403
39143,51701
39145,39731
39147,49936
39149,61042
39151,52190
39153,55448
39155,45975
39157,51170
39159,82775
39161,52754
39163,42114
39165,83330
39167,48572
39169,56348
39171,49491
39173,59789
39175,52940
40001,32986
40003,59569
40005,38821
40007,51996
40009,48725
40011,50391
40013,43245
40015,44588
40017,71157
40019,49216
40021,40936
40023,32129
40025,46071
40027,62863
40029,40000
40031,52227
40033,51623
40035,41701
40037,49578
40039,48884
40041,39742
40043,50037
40045,52705
40047,51332
40049,45066
40051,58177
40053,56287
40055,38322
40057,41607
40059,50114
40061,39375
40063,39265
40065,45757
40067,37319
40069,40077
40071,45426
40073,60656
40075,38209
40077,42363
40079,39769
40081,49362
40083,62035
40085,52007
40087,64492
40089,35829
40091,37086
40093,54118
40095,45828
40097,48853
40099,51490
40101,42689
40103,53253
40105,41895
40107,38527
40109,52855
40111,42175
40113,47789
40115,39070
40117,47413
40119,40944
40121,45346
40123,49235
40125,47683
40127,37457
40129,47667
40131,62949
40133,38706
40135,38328
40137,46166
40139,50450
40141,40462
40143,53902
40145,61566
40147,52103
40149,52510
40151,56899
40153,58706
41001,43921
41003,58655
41005,76597
41007,52583
41009,59714
41011,43308
41013,44524
41015,46396
41017,63680
41019,45812
41021,42976
41023,45357
41025,41797
41027,62935
41029,50851
41031,50339
41033,43046
41035,43522
41037,36627
41039,49958
41041,46061
41043,52097
41045,42478
41047,56097
41049,55440
41051,64337
41053,58344
41055,48056
41057,47500
41059,51887
41061,48617
41063,44953
41065,50973
41067,78010
41069,33456
41071,59484
42001,64507
42003,58383
42005,49032
42007,55828
42009,49146
42011,61522
42013,47969
42015,51457
42017,86055
42019,68472
42021,45901
42023,41485
42025,53624
42027,58055
42029,96726
42031,45625
42033,47270
42035,49234
42037,49889
42039,49144
42041,68895
42043,58916
42045,71539
42047,51112
42049,49716
42051,44476
42053,38383
42055,59713
42057,51259
42059,54121
42061,48597
42063,46877
42065,46818
42067,52765
42069,50875
42071,63823
42073,48860
42075,59114
42077,62178
42079,51646
42081,52407
42083,46953
42085,48768
42087,47526
42089,63931
42091,88166
42093,57183
42095,67565
42097,47063
42099,62266
42101,43744
42103,64247
42105,42821
42107,49190
42109,57638
42111,48224
42113,47346
42115,53059
42117,50667
42119,56026
42121,47982
42123,48409
42125,61567
42127,54851
42129,58866
42131,59308
42133,63902
44001,75578
44003,70223
44005,77237
44007,55233
44009,81301
45001,36685
45003,50036
45005,24560
45007,47906
45009,32229
45011,36566
45013,63110
45015,59995
45017,44534
45019,61028
45021,35836
45023,40080
45025,40033
45027,37525
45029,36276
45031,36254
45033,29362
45035,61698
45037,49200
45039,36294
45041,45479
45043,48071
45045,56789
45047,40982
45049,32453
45051,48279
45053,41930
45055,49392
45057,55223
45059,41578
45061,31651
45063,59593
45065,42262
45067,33046
45069,34203
45071,42765
45073,46056
45075,36188
45077,47024
45079,53922
45081,44486
45083,50179
45085,43792
45087,40120
45089,32351
45091,62431
46003,59293
46005,51700
46007,48348
46009,54450
46011,56370
46013,56455
46015,50839
46017,32500
46019,44387
46021,52500
46023,46389
46025,47798
46027,43189
46029,54774
46031,35441
46033,55472
46035,47772
46037,44145
46039,57930
46041,43954
46043,57419
46045,68551
46047,50837
46049,53889
46051,62532
46053,44479
46055,37420
46057,65050
46059,52438
46061,63036
46063,57365
46065,63564
46067,54868
46069,54891
46071,33438
46073,49519
46075,41103
46077,59375
46079,59232
46081,52245
46083,81422
46085,53263
46087,62234
46089,43804
46091,63594
46093,59218
46095,31222
46097,51394
46099,60028
46101,58167
46102,30347
46103,55024
46105,56850
46107,53600
46109,50495
46111,54899
46115,52729
46117,71763
46119,64028
46121,24257
46123,51027
46125,55380
46127,69563
46129,52123
46135,54694
46137,37143
47001,49376
47003,48945
47005,33125
47007,42889
47009,54140
47011,48140
47013,38170
47015,49523
47017,40810
47019,36589
47021,58641
47023,45667
47025,36077
47027,31487
47029,33614
47031,47998
47033,42047
47035,43893
47037,56507
47039,40233
47041,44134
47043,50549
47045,43762
47047,59017
47049,35084
47051,49038
47053,41886
47055,47528
47057,42997
47059,40138
47061,36987
47063,42589
47065,53035
47067,28990
47069,38651
47071,39798
47073,40335
47075,38362
47077,42430
47079,40837
47081,41998
47083,43964
47085,41510
47087,36703
47089,47264
47091,34151
47093,54437
47095,34966
47097,37915
47099,41553
47101,37139
47103,45736
47105,56078
47107,41398
47109,36055
47111,36246
47113,46223
47115,48024
47117,49370
47119,54249
47121,43250
47123,38327
47125,55972
47127,52294
47129,40166
47131,39866
47133,36558
47135,34634
47137,41004
47139,41818
47141,40888
47143,39451
47145,50003
47147,61774
47149,63846
47151,35453
47153,51750
47155,45943
47157,49782
47159,46404
47161,42269
47163,43442
47165,64631
47167,60167
47169,52864
47171,39851
47173,41352
47175,37127
47177,37715
47179,46752
47181,38634
47183,38566
47185,40745
47187,109026
47189,71513
48001,43355
48003,74233
48005,47714
48007,44865
48009,64476
48011,66563
48013,55265
48015,65365
48017,46485
48019,53683
48021,62941
48023,40750
48025,42032
48027,54184
48029,55456
48031,63071
48033,81985
48035,50882
48037,47505
48039,79270
48041,46839
48043,43894
48045,42647
48047,27378
48049,45457
48051,56235
48053,59238
48055,52278
48057,55469
48059,44602
48061,37132
48063,42604
48065,70087
48067,45345
48069,45000
48071,76850
48073,46044
48075,40794
48077,51191
48079,42798
48081,45551
48083,43981
48085,94192
48087,42750
48089,49504
48091,75356
48093,47893
48095,43355
48097,57646
48099,51440
48101,34375
48103,70398
48105,51152
48107,37899
48109,33417
48111,51250
48113,56854
48115,44657
48117,51841
48119,46138
48121,83376
48123,53779
48125,41618
48127,27832
48129,43224
48131,37382
48133,35325
48135,60676
48137,40313
48139,72213
48141,44597
48143,48819
48145,38032
48147,50761
48149,56297
48151,46827
48153,48555
48155,46354
48157,95561
48159,52944
48161,48731
48163,42476
48165,59032
48167,69369
48169,55039
48171,58325
48173,75833
48175,60492
48177,53006
48179,47170
48181,54370
48183,49287
48185,50298
48187,70931
48189,47080
48191,32921
48193,47500
48195,39229
48197,42238
48199,59105
48201,60146
48203,51202
48205,59280
48207,46013
48209,65935
48211,63778
48213,45798
48215,38398
48217,48823
48219,48116
48221,59049
48223,51877
48225,34297
48227,51528
48229,29318
48231,51928
48233,50651
48235,54706
48237,51700
48239,60276
48241,46088
48243,53194
48245,48463
48247,32049
48249,42005
48251,62066
48253,45694
48255,52252
48257,65390
48259,82390
48261,36125
48263,45926
48265,52473
48267,42500
48269,65125
48271,31468
48273,42021
48275,46146
48277,43562
48279,43396
48281,58194
48283,51792
48285,53021
48287,55000
48289,44818
48291,49850
48293,42680
48295,57372
48297,55766
48299,52178
48301,81875
48303,50473
48305,43524
48307,45329
48309,48199
48311,68750
48313,49428
48315,37283
48317,69722
48319,40708
48321,45500
48323,38035
48325,61059
48327,40606
48329,78888
48331,47081
48333,41827
48335,49670
48337,51774
48339,77416
48341,51527
48343,42961
48345,43750
48347,43598
48349,47920
48351,40950
48353,44346
48355,55048
48357,49928
48359,63315
48361,55700
48363,45979
48365,51569
48367,74625
48369,54184
48371,52282
48373,46182
48375,43157
48377,27061
48379,49872
48381,67397
48383,70478
48385,34813
48387,37955
48389,58384
48391,48112
48393,73854
48395,54201
48397,94767
48399,41732
48401,52329
48403,33257
48405,35509
48407,44658
48409,55229
48411,44698
48413,55677
48415,55889
48417,45187
48419,40764
48421,56576
48423,53511
48425,53162
48427,29294
48429,45336
48431,59286
48433,48000
48435,60543
48437,38418
48439,64874
48441,50818
48443,33750
48445,44975
48447,44196
48449,46698
48451,51675
48453,71767
48455,40407
48457,43936
48459,50906
48461,52257
48463,41752
48465,45521
48467,51935
48469,55631
48471,41855
48473,57654
48475,64630
48477,56237
48479,42293
48481,49619
48483,49352
48485,46575
48487,48773
48489,29944
48491,83679
48493,72445
48495,59167
48497,61709
48499,48534
48501,68814
48503,47194
48505,31113
48507,30988
49001,54212
49003,59937
49005,56840
49007,50278
49009,81250
49011,79690
49013,63919
49015,52055
49017,52337
49019,48673
49021,46809
49023,62237
49025,48269
49027,60445
49029,89274
49031,39440
49033,49886
49035,71230
49037,44680
49039,51720
49041,53020
49043,100453
49045,71020
49047,66736
49049,70408
49051,77449
49053,56877
49055,44694
49057,64636
50001,65093
50003,53040
50005,49348
50007,69896
50009,41045
50011,64258
50013,69583
50015,60365
50017,60159
50019,47915
50021,54973
50023,62108
50025,52659
50027,58303
51001,43210
51003,75394
51005,47794
51007,58526
51009,49170
51011,56176
51013,117374
51015,61305
51017,46137
51019,61541
51021,50511
51023,68410
51025,41927
51027,30806
51029,46261
51031,50258
51033,64715
51035,43532
51036,59192
51037,39212
51041,80214
51043,77936
51045,55484
51047,73116
51049,46221
51051,29226
51053,55880
51057,52681
51059,121133
51061,97469
51063,49729
51065,74931
51067,52639
51069,73250
51071,52478
51073,66701
51075,89741
51077,33969
51079,64979
51081,44534
51083,42289
51085,88652
51087,68572
51089,36683
51091,46147
51093,71376
51095,83048
51097,54516
51099,87321
51101,68720
51103,50739
51105,32718
51107,136268
51109,59343
51111,41868
51113,54197
51115,67009
51117,42025
51119,51917
51121,54641
51125,62446
51127,79698
51131,43553
51133,58677
51135,42869
51137,68481
51139,47951
51141,40486
51143,45382
51145,83914
51147,46189
51149,67001
51153,103445
51155,52638
51157,68438
51159,49831
51161,65467
51163,54805
51165,59817
51167,39482
51169,39144
51171,54921
51173,40425
51175,54611
51177,85330
51179,106773
51181,54844
51183,45801
51185,40978
51187,68189
51191,46262
51193,54268
51195,38345
51197,48043
51199,90367
51510,96733
51520,37904
51530,34273
51540,58933
51550,75790
51570,53716
51580,39432
51590,36301
51595,30857
51600,111574
51610,124796
51620,40375
51630,63274
51640,31938
51650,54550
51660,43893
51670,40497
51678,36466
51680,43374
51683,78462
51685,80667
51690,33224
51700,51884
51710,49146
51720,28071
51730,36135
51735,96831
51740,50224
51750,36743
51760,45117
51770,43028
51775,57185
51790,48049
51800,70664
51810,74186
51820,45738
51830,56163
51840,53797
53001,49142
53003,50423
53005,65650
53007,56135
53009,49913
53011,71636
53013,51111
53015,51752
53017,60452
53019,41924
53021,62002
53023,52525
53025,54982
53027,47770
53029,64809
53031,54471
53033,89418
53035,71610
53037,55193
53039,54056
53041,50216
53043,50744
53045,55726
53047,45808
53049,44846
53051,48583
53053,67868
53055,60711
53057,62865
53059,58598
53061,82751
53063,54852
53065,49200
53067,69592
53069,54085
53071,56533
53073,59285
53075,42163
53077,49871
54001,39580
54003,60615
54005,38642
54007,42213
54009,49772
54011,38321
54013,37610
54015,35875
54017,46449
54019,40379
54021,35810
54023,41071
54025,39038
54027,40099
54029,45580
54031,47186
54033,50433
54035,44783
54037,76503
54039,45426
54041,39423
54043,37679
54045,38123
54047,26547
54049,48605
54051,43918
54053,40347
54055,39372
54057,46354
54059,31305
54061,49926
54063,36493
54065,50661
54067,38468
54069,48418
54071,41210
54073,48563
54075,39702
54077,48317
54079,59626
54081,42296
54083,41094
54085,44472
54087,34300
54089,36049
54091,47205
54093,45655
54095,41108
54097,40401
54099,36875
54101,34312
54103,42125
54105,40189
54107,45958
54109,40045
55001,43280
55003,43861
55005,50903
55007,52910
55009,59963
55011,57134
55013,49982
55015,72530
55017,57288
55019,51872
55021,65348
55023,48853
55025,70541
55027,58870
55029,58287
55031,52480
55033,56268
55035,55711
55037,49128
55039,59373
55041,44313
55043,52958
55045,62699
55047,53260
55049,62785
55051,40801
55053,52984
55055,63676
55057,51056
55059,60929
55061,63118
55063,55479
55065,59629
55067,46557
55069,56086
55071,53489
55073,59543
55075,47497
55077,49586
55078,43872
55079,48742
55081,58178
55083,57105
55085,54198
55087,63536
55089,82807
55091,53140
55093,72111
55095,56932
55097,57368
55099,46742
55101,59749
55103,51335
55105,55832
55107,44302
55109,81124
55111,56732
55113,44555
55115,54143
55117,58943
55119,51698
55121,55865
55123,50905
55125,44285
55127,61106
55129,48422
55131,74062
55133,84331
55135,57680
55137,51195
55139,57124
55141,53473
56001,46865
56003,53435
56005,79916
56007,60206
56009,63923
56011,64055
56013,54242
56015,49774
56017,51875
56019,55991
56021,64220
56023,64519
56025,60550
56027,39359
56029,62666
56031,47096
56033,58521
56035,78680
56037,73008
56039,83831
56041,58235
56043,53426
56045,52867
72001,12902
72003,16347
72005,16693
72007,17255
72009,19720
72011,19379
72013,18001
72015,16976
72017,16889
72019,15970
72021,26017
72023,16080
72025,25006
72027,16831
72029,20673
72031,29434
72033,18253
72035,21320
72037,19103
72039,15071
72041,19949
72043,19833
72045,12812
72047,15088
72049,23802
72051,29667
72053,19068
72054,20315
72055,13242
72057,16374
72059,16922
72061,33937
72063,33661
72065,17201
72067,19394
72069,19880
72071,16748
72073,15424
72075,20845
72077,18969
72079,13747
72081,14540
72083,13435
72085,21792
72087,17402
72089,20829
72091,19459
72093,13262
72095,19788
72097,14120
72099,14155
72101,20589
72103,19356
72105,19332
72107,13319
72109,15761
72111,17592
72113,17173
72115,16630
72117,21591
72119,22509
72121,16846
72123,16887
72125,15619
72127,22146
72129,18821
72131,14812
72133,17640
72135,28863
72137,24899
72139,31193
72141,16533
72143,18895
72145,19096
72147,15539
72149,19855
72151,16013
72153,14954
